stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,stop_timezone,wheelchair_boarding
268,COLIB2,Colibri,43.738255,7.237579,,0,place_096780,,0
269,COLLE1,Collège de l'Archet,43.692574,7.229072,,0,place_096781,,0
270,COLLE9,Collège de l'Archet,43.692604,7.229606,,0,place_096781,,0
271,COLPI8,Collet Pioum,43.750608,7.24503,,0,place_096784,,1
272,COLPI9,Collet Pioum,43.750458,7.245033,,0,place_096784,,1
273,COLOM2,Colombo,43.722392,7.279721,,0,place_096785,,0
274,COLOM0,Colombo,43.722521,7.279459,,0,place_096785,,0
275,GASIN2,Hôpital Pasteur,43.723136,7.284182,,0,place_096786,,1
276,GASIN7,Hôpital Pasteur,43.723408,7.285088,,0,place_096786,,1
279,COMFA2,Maioun dóu Rai,43.727887,7.255583,,0,place_099872,,0
282,CONGR2,Congrès / Promenade,43.694719,7.262923,,0,place_096793,,1
283,CONG32,Congrès / Joffre,43.698306,7.262995,,0,place_CONGJ,,1
284,CONST9,Constellations / IUT,43.687266,7.227061,,0,place_096796,,1
286,CNSTL2,Constellations,43.68898,7.226767,,0,place_096795,,0
287,CONTI5,Conti,43.733291,7.237633,,0,place_096797,,0
288,CONTI6,Conti,43.732623,7.237943,,0,place_096797,,0
289,COQUE4,Coquette,43.726908,7.248766,,0,place_096798,,0
290,COQUE7,Coquette,43.726736,7.248987,,0,place_096798,,0
291,CORBE3,Corniche Bellevue,43.708218,7.243069,,0,place_096799,,0
292,CORFL3,Corniche Fleurie,43.682841,7.220406,,0,place_096800,,0
293,CORFL4,Corniche Fleurie,43.682566,7.220143,,0,place_096800,,0
295,COROM8,Coromandel,43.725391,7.26134,,0,place_096801,,0
296,COSTA3,Costabella,43.678691,7.224271,,0,place_096802,,0
297,COSTA4,Costabella,43.678902,7.223806,,0,place_096802,,0
298,COURB3,Courbet,43.731601,7.275722,,0,place_096803,,1
299,COURB7,Courbet,43.731433,7.275624,,0,place_096803,,1
300,CROI0,Croix de Berra,43.708148,7.212382,,0,place_096810,,1
303,CYRNO0,Cyrnos,43.715714,7.253711,,0,place_CYRNO,,1
304,CYRNO2,Cyrnos,43.714928,7.253975,,0,place_CYRNO,,1
305,DAUDT6,Square  Daudet,43.707756,7.251722,,0,place_097449,,1
306,DAUDT9,Square Daudet,43.707649,7.251741,,0,place_097449,,1
307,DAUPH9,Dauphine,43.683991,7.231154,,0,place_096815,,0
308,DAUPH3,Dauphine,43.68403,7.231083,,0,place_096815,,0
309,DJOLY7,De Joly,43.701883,7.293148,,0,place_096816,,0
310,DJOLY0,De Joly,43.702083,7.293302,,0,place_096816,,0
312,DEFLY3,Defly,43.701906,7.276388,,0,place_096818,,1
313,DELFI8,Delfino / Riquier,43.703037,7.289388,,0,place_DELFIR,,1
314,DELFI0,Delfino / Arson,43.703784,7.288596,,0,place_096819,,1
317,DELPH9,Delphine,43.723783,7.243492,,0,place_096823,,0
318,DELPH0,Delphine,43.723927,7.24304,,0,place_096823,,0
321,DESAM9,Désambrois,43.705127,7.272214,,0,place_096826,,1
322,DESAM1,Désambrois,43.704938,7.272408,,0,place_096826,,1
324,DEUXA2,Deux Avenues,43.719071,7.252241,,0,place_096827,,1
329,2CORN9,Deux Corniches,43.710813,7.295181,,0,place_096828,,0
330,2CORN1,Deux Corniches,43.711248,7.295341,,0,place_096828,,0
331,CYPRE0,Deux Cyprès,43.685857,7.230322,,0,place_096829,,0
332,CYPRE2,Deux Cyprès,43.685923,7.230241,,0,place_096829,,0
334,DIANE4,Diane,43.728286,7.244608,,0,place_096831,,0
335,DIANE8,Diane,43.728562,7.244326,,0,place_096831,,0
336,DILLI2,Dillies,43.709734,7.296493,,0,place_096834,,0
337,DILLI1,Dillies,43.709576,7.296809,,0,place_096834,,0
340,MORIE3,Docteur Moriez,43.708613,7.275172,,0,place_096836,,0
341,MORIE0,Docteur Moriez,43.708941,7.275077,,0,place_096836,,0
342,PASCH5,Quai Lyautey,43.717257,7.281487,,0,place_LYAUTE,,0
343,PASCH3,Lyautey,43.717348,7.281614,,0,place_LYAUTE,,0
344,PASCH7,Boulevard Pasteur,43.717324,7.280939,,0,place_096837,,1
345,PASCH8,Boulevard Pasteur,43.717644,7.281084,,0,place_096837,,1
346,DROUX5,Docteur Roux,43.675722,7.226247,,0,place_096838,,1
351,DUFY9,Dufy,43.684285,7.215878,,0,place_096841,,0
352,DUFY0,Dufy,43.684745,7.215053,,0,place_096841,,0
354,DURAN6,Durandy / Canta Galet,43.714667,7.217573,,0,place_096843,,0
355,DURAN7,Durandy / Canta Galet,43.714719,7.217643,,0,place_096843,,0
359,ECCOF8,Ecole Corniche Fleurie,43.686105,7.208631,,0,place_096846,,0
360,ECCOF9,Ecole Corniche Fleurie,43.686043,7.208739,,0,place_096846,,0
361,ECOLG4,Ecole des Genêts,43.715098,7.229147,,0,place_096847,,0
362,ECOLG2,Ecole des Genêts,43.714737,7.228967,,0,place_096847,,0
363,ECOLS3,Ecole des Oliviers,43.729564,7.253169,,0,place_096848,,1
364,ECORI6,Ecole du Righi,43.715803,7.250526,,0,place_096850,,0
365,ECORI2,Ecole du Righi,43.715933,7.25029,,0,place_096850,,0
366,ECOLF3,Ecole Fabron,43.687948,7.21232,,0,place_096851,,0
367,ECOLF4,Ecole Fabron,43.687406,7.212239,,0,place_096851,,0
368,ECOLR0,Ecole Rimiez,43.744267,7.268347,,0,place_096853,,1
369,ECOLR4,Ecole Rimiez,43.744384,7.267657,,0,place_096853,,1
370,ECOIS5,Ecole Saint-Isidore,43.712347,7.19328,,0,place_099819,,0
371,ESAPA9,Ecole Saint-Pancrace,43.736936,7.23731,,0,place_100178,,0
372,ESAPA0,Ecole Saint-Pancrace,43.736476,7.237369,,0,place_100178,,0
373,ECOPI7,Ecole Saint-Pierre,43.717177,7.235943,,0,place_096856,,0
374,ECOPI8,Ecole Saint-Pierre,43.717295,7.235731,,0,place_096856,,0
375,EDENP4,Eden Park,43.676942,7.222729,,0,place_096857,,0
